ID;Birth;Death;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
DLT;1978;0;0;0;0;0;1;1;1;0;0;1;1;1;0;1;1;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
DPN;1978;0;0;0;0;0;0;1;0;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DPV;1978;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1
DRY;1978;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FAF;1979;0;0;0;0;0;0;1;0;1;1;1;0;1;1;1;1;1;1;0;1;1;0;0;0;0;1;1;1;0;1;1;1;0;1;0;1;0;1;0;0;0
FAN;1979;0;0;0;0;0;1;1;0;1;0;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;0;0
FAZ;1979;0;0;0;0;1;1;1;1;0;0;1;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FCB;1979;0;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;1;0;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1
FCF;1979;0;0;0;1;0;0;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FCP;1979;0;0;0;0;1;0;1;0;0;0;1;1;1;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0
FDZ;1979;0;0;0;0;0;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FFC;1979;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FFL;1979;0;0;0;1;0;1;1;1;0;1;1;1;0;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FFX;1979;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FFZ;1979;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FHA;1979;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;1;1;1;0;0;0;1;1;0;1;1;0;0;1;0;1;0;0;1;1;0
FKF;1979;0;0;0;0;0;0;1;0;0;1;1;1;0;1;1;1;1;0;1;0;1;1;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0
FLA;1979;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FLZ;1979;0;0;0;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FNS;1979;0;0;0;1;0;0;0;1;1;0;1;1;0;1;1;1;0;1;0;1;1;1;0;0;0;0;1;0;1;1;0;1;0;1;0;1;0;1;1;1;0
FVB;1979;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;1;1;0;0;1;0;1;0;0;1;0;0;0;1;1;1;1;0;1;1;1;0;0;0;0;0
FXD;1979;0;0;0;0;1;0;1;1;0;0;1;1;1;1;0;1;1;1;1;0;1;1;1;0;0;0;1;1;1;1;1;1;0;1;0;1;0;1;1;1;1
FXH;1979;0;0;0;0;0;1;1;0;1;1;1;1;1;1;1;1;1;0;0;0;1;1;0;0;1;0;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1
FZL;1979;0;0;0;1;0;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;1;0;1;1;1;1;0;1;1;1;1;0;0;0;1
FZP;1979;0;0;0;0;0;1;0;0;1;0;1;1;1;1;0;0;0;1;1;0;1;1;0;0;0;0;1;1;1;0;1;1;1;1;1;1;1;0;0;1;0
HBI;1979;0;0;0;0;0;1;1;0;1;0;1;0;0;1;1;1;1;1;1;1;1;1;0;0;0;1;0;0;1;1;0;1;1;1;0;1;0;0;0;0;0
HBZ;1979;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
HFC;1979;0;0;0;0;1;1;0;1;0;0;1;1;0;0;0;1;1;1;1;0;1;1;0;0;0;0;1;0;0;1;1;1;1;0;1;1;0;1;0;0;0
HFI;1979;0;0;0;0;0;0;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;0;1;0;1;1;1;1;0;1;0;1;0;0;1;0;1
HFL;1979;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1
HHN;1979;0;0;0;0;0;0;0;1;0;1;0;1;1;0;1;0;1;0;1;0;1;1;0;0;0;0;1;1;0;1;1;0;1;0;0;1;0;1;0;1;1
